date,country,forecast_deposit
2024-01-04,DE,7609.469050506424
2024-01-05,DE,7609.469050506424
2024-01-06,DE,7609.469050506424
2024-01-07,DE,7609.469050506424
2024-01-08,DE,7609.469050506424
2024-01-09,DE,7609.469050506424
2024-01-10,DE,7609.469050506424
2024-01-11,DE,7609.469050506424
2024-01-12,DE,7609.469050506424
2024-01-13,DE,7609.469050506424
2024-01-14,DE,7609.469050506424
2024-01-15,DE,7609.469050506424
2024-01-16,DE,7609.469050506424
2024-01-17,DE,7609.469050506424
2024-01-18,DE,7609.469050506424
2024-01-19,DE,7609.469050506424
2024-01-20,DE,7609.469050506424
2024-01-21,DE,7609.469050506424
2024-01-22,DE,7609.469050506424
2024-01-23,DE,7609.469050506424
2024-01-24,DE,7609.469050506424
2024-01-25,DE,7609.469050506424
2024-01-26,DE,7609.469050506424
2024-01-27,DE,7609.469050506424
2024-01-28,DE,7609.469050506424
2024-01-29,DE,7609.469050506424
2024-01-30,DE,7609.469050506424
2024-01-31,DE,7609.469050506424
2024-02-01,DE,7609.469050506424
2024-02-02,DE,7609.469050506424
2024-01-04,UK,9721.278305848547
2024-01-05,UK,9721.278305848547
2024-01-06,UK,9721.278305848547
2024-01-07,UK,9721.278305848547
2024-01-08,UK,9721.278305848547
2024-01-09,UK,9721.278305848547
2024-01-10,UK,9721.278305848547
2024-01-11,UK,9721.278305848547
2024-01-12,UK,9721.278305848547
2024-01-13,UK,9721.278305848547
2024-01-14,UK,9721.278305848547
2024-01-15,UK,9721.278305848547
2024-01-16,UK,9721.278305848547
2024-01-17,UK,9721.278305848547
2024-01-18,UK,9721.278305848547
2024-01-19,UK,9721.278305848547
2024-01-20,UK,9721.278305848547
2024-01-21,UK,9721.278305848547
2024-01-22,UK,9721.278305848547
2024-01-23,UK,9721.278305848547
2024-01-24,UK,9721.278305848547
2024-01-25,UK,9721.278305848547
2024-01-26,UK,9721.278305848547
2024-01-27,UK,9721.278305848547
2024-01-28,UK,9721.278305848547
2024-01-29,UK,9721.278305848547
2024-01-30,UK,9721.278305848547
2024-01-31,UK,9721.278305848547
2024-02-01,UK,9721.278305848547
2024-02-02,UK,9721.278305848547
2024-01-04,USA,15796.16033809764
2024-01-05,USA,15796.16033809764
2024-01-06,USA,15796.16033809764
2024-01-07,USA,15796.16033809764
2024-01-08,USA,15796.16033809764
2024-01-09,USA,15796.16033809764
2024-01-10,USA,15796.16033809764
2024-01-11,USA,15796.16033809764
2024-01-12,USA,15796.16033809764
2024-01-13,USA,15796.16033809764
2024-01-14,USA,15796.16033809764
2024-01-15,USA,15796.16033809764
2024-01-16,USA,15796.16033809764
2024-01-17,USA,15796.16033809764
2024-01-18,USA,15796.16033809764
2024-01-19,USA,15796.16033809764
2024-01-20,USA,15796.16033809764
2024-01-21,USA,15796.16033809764
2024-01-22,USA,15796.16033809764
2024-01-23,USA,15796.16033809764
2024-01-24,USA,15796.16033809764
2024-01-25,USA,15796.16033809764
2024-01-26,USA,15796.16033809764
2024-01-27,USA,15796.16033809764
2024-01-28,USA,15796.16033809764
2024-01-29,USA,15796.16033809764
2024-01-30,USA,15796.16033809764
2024-01-31,USA,15796.16033809764
2024-02-01,USA,15796.16033809764
2024-02-02,USA,15796.16033809764
